Data;IBOVESPA;IVVB11;DÓLAR;IFIX;OZ1D
20/07/2020;1,49%;0,19%;-4,48%;-0,62%;-0,96%
17/07/2020;2,32%;1,49%;-0,09%;-0,07%;2,79%
16/07/2020;-1,22%;-1,70%;0,13%;-0,10%;-1,46%
15/07/2020;1,34%;1,54%;-1,47%;0,13%;0,42%
14/07/2020;1,77%;0,81%;1,50%;-0,31%;-0,74%
13/07/2020;-1,33%;0,31%;0,09%;-0,57%;1,31%
10/07/2020;0,88%;0,71%;0,87%;0,03%;-0,16%
09/07/2020;-0,61%;-0,70%;-0,94%;-0,48%;-0,17%
08/07/2020;2,05%;0,11%;0,31%;-0,67%;-0,38%
07/07/2020;-1,19%;-0,46%;0,44%;-0,15%;1,70%
06/07/2020;2,24%;0,80%;-0,54%;-0,38%;0,33%
03/07/2020;0,55%;0,42%;0,65%;0,00%;0,00%
02/07/2020;0,03%;1,83%;-1,16%;-0,10%;0,04%
01/07/2020;1,21%;-2,05%;-2,02%;0,35%;-2,62%
30/06/2020;-0,71%;1,91%;0,63%;0,68%;1,97%
29/06/2020;2,03%;0,57%;-0,39%;-0,11%;-1,94%
26/06/2020;-2,24%;0,14%;2,52%;-0,10%;2,99%
25/06/2020;1,70%;1,05%;1,63%;0,23%;1,18%
24/06/2020;-1,66%;0,64%;1,41%;-0,24%;2,59%
23/06/2020;0,67%;-1,50%;-1,00%;0,04%;-1,86%
22/06/2020;-1,28%;-0,31%;-2,32%;-0,41%;-0,43%
19/06/2020;0,46%;-1,75%;0,00%;0,33%;0,47%
18/06/2020;0,60%;2,38%;1,85%;0,20%;1,86%
17/06/2020;2,16%;0,03%;2,37%;0,20%;1,33%
16/06/2020;1,25%;3,77%;-1,15%;0,20%;0,78%
15/06/2020;-0,45%;2,41%;3,00%;-0,15%;1,79%
12/06/2020;-2,00%;-2,76%;3,03%;-0,62%;2,57%
10/06/2020;-2,13%;0,80%;-0,33%;0,25%;1,39%
09/06/2020;-0,92%;0,09%;-0,56%;-0,04%;2,00%
08/06/2020;3,18%;-1,11%;-0,89%;0,75%;-1,50%
05/06/2020;0,86%;-0,63%;-2,48%;1,02%;-4,30%
04/06/2020;0,89%;0,40%;1,04%;0,53%;0,83%
03/06/2020;2,15%;-1,27%;-3,96%;0,95%;-3,59%
02/06/2020;2,74%;-2,06%;-1,94%;1,06%;-3,37%
01/06/2020;1,39%;0,85%;-1,15%;0,70%;1,64%
29/05/2020;0,52%;-0,14%;1,61%;0,66%;-0,95%
28/05/2020;-1,13%;1,74%;0,78%;0,47%;1,90%
27/05/2020;2,90%;0,44%;-1,33%;0,47%;-1,42%
26/05/2020;-0,23%;-2,19%;-1,94%;0,43%;-4,66%
25/05/2020;4,25%;-0,42%;-1,86%;0,63%;-2,22%
22/05/2020;-1,03%;-0,06%;-0,38%;0,48%;-0,63%
21/05/2020;2,10%;-2,94%;-1,67%;0,22%;-3,06%
20/05/2020;0,71%;-0,98%;-0,43%;0,10%;-0,76%
19/05/2020;-0,56%;1,06%;-0,28%;0,14%;2,97%
18/05/2020;4,69%;1,15%;-1,47%;0,02%;-3,18%
15/05/2020;-1,84%;1,06%;-1,93%;0,60%;0,16%
14/05/2020;1,59%;-0,55%;0,59%;-0,41%;1,22%
13/05/2020;-0,13%;-1,16%;2,25%;-0,88%;0,46%
12/05/2020;-1,51%;-1,20%;-0,40%;-0,27%;2,37%
11/05/2020;-1,49%;1,47%;0,52%;0,21%;1,60%
08/05/2020;2,75%;-1,23%;-1,22%;0,11%;-2,04%
