Data;Abertura;Máxima;Mínima;Fechamento;Compra;Venda
06/03/2020;102230,5;102230,5;96885,83;97996,77;2;0
05/03/2020;107216,56;107216,56;100536,15;102233,24;2;0
04/03/2020;105540,27;107808,91;105042,11;107224,22;2;0
03/03/2020;106630,34;108803,58;104404,82;105537,14;2;0
02/03/2020;104259,51;107220,02;103779,26;106625,41;2;0
28/02/2020;102983,54;104171,57;99950,96;104171,57;2;0
27/02/2020;105710,7;106656,32;102983,54;102983,54;1;0
26/02/2020;113646,53;113646,53;105052,8;105718,29;1;0
21/02/2020;114584,97;114584,97;112661,31;113681,42;1;0
20/02/2020;116517,59;116552,46;114379,14;114586,24;1;0
19/02/2020;114981,9;116545,32;114774,04;116517,59;1;0
18/02/2020;115309,22;115309,22;113532,04;114977,29;1;0
17/02/2020;114381,36;115696,35;114381,36;115309,08;1;0
14/02/2020;115662,73;115662,73;114132,37;114380,71;1;0
13/02/2020;116659,69;116659,69;114800,64;115662,4;1;0
12/02/2020;115371,2;117580,93;115371,2;116674,13;1;0
11/02/2020;112573,78;115576,21;112573,78;115370,61;1;0
10/02/2020;113771,35;114176,46;112134,4;112570,3;1;0
07/02/2020;115189,97;115189,97;113769,14;113770,29;1;0
06/02/2020;116033,22;117381,83;114722,68;115189,97;1;0
05/02/2020;115562,65;117700,53;115562,34;116028,27;1;0
04/02/2020;114630,58;116555,61;114630,58;115556,71;1;0
03/02/2020;113760,57;115299,47;113467,4;114629,21;1;0
31/01/2020;115518,2;115518,2;113148,36;113760,57;1;0
30/01/2020;115374,99;115528,04;112825,49;115528,04;1;1
29/01/2020;116494,45;117171,28;115163,75;115384,84;0;1
28/01/2020;114482,37;116796,7;114474,61;116478,98;0;2
27/01/2020;118346,72;118346,72;114375,58;114481,84;0;3
24/01/2020;119527,63;119593,1;118108,3;118376,36;0;3
23/01/2020;118391,45;119534,8;116905,95;119527,63;0;3
22/01/2020;117035,48;118400,98;117035,48;118391,36;0;3
21/01/2020;118860,85;118860,85;117026,04;117026,04;0;3
20/01/2020;118478,38;118861,63;117927,53;118861,63;0;3
17/01/2020;116709,91;118478,95;116709,91;118478,3;0;3
16/01/2020;116414,88;117105,58;115961,42;116704,21;0;4
15/01/2020;117632,4;117632,4;116188,11;116414,35;0;4
14/01/2020;117325,08;117705,16;116609,75;117632,4;0;4
13/01/2020;115502,53;117333,11;115502,53;117325,28;0;4
10/01/2020;115947,76;116744,9;114952,34;115503,42;0;4
09/01/2020;116247,52;116820,04;115410,67;115947,11;0;5
08/01/2020;116667,32;117334,82;115693,02;116247,03;0;5
07/01/2020;116871,73;117075,85;115965,38;116661,94;0;5
06/01/2020;117706,66;117706,66;116268,69;116877,92;0;5
03/01/2020;118564,44;118791,86;117340,57;117706,66;0;5
02/01/2020;115651,95;118573,1;115648,97;118573,1;0;4
30/12/2019;116530,28;117085,94;115599,16;115645,34;0;4
27/12/2019;117205,09;117802,86;115995,12;116533,98;0;3
26/12/2019;115864,38;117219,91;115672,53;117203,2;0;2
23/12/2019;115118,96;115863,29;114964,34;115863,29;0;2
20/12/2019;115133,12;115170,58;114525,95;115121,08;0;2
19/12/2019;114313,35;115132,01;113712,39;115131,25;0;2
18/12/2019;112618,25;114338,51;112299,9;114314,65;0;2
17/12/2019;111896,54;112695,34;111896,54;112615,66;0;2
